"Plot Title: field"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 2252215, SEN S/N: 2226787)","Water Content, m³/m³ (LGR S/N: 2252215, SEN S/N: 2241185)","Temp, °C (LGR S/N: 2252215, SEN S/N: 10785045)","RH, % (LGR S/N: 2252215, SEN S/N: 10785045)"
218,09/01/17 04:00:00  PM,15.676,0.0134,18.224,53.000
219,09/01/17 05:00:00  PM,15.963,0.0126,17.629,53.200
220,09/01/17 06:00:00  PM,16.129,0.0126,16.725,56.300
221,09/01/17 07:00:00  PM,16.129,0.0119,14.194,65.200
222,09/01/17 08:00:00  PM,15.915,0.0119,11.273,74.700
223,09/01/17 09:00:00  PM,15.509,0.0112,10.443,82.600
224,09/01/17 10:00:00  PM,15.008,0.0112,9.632,86.100
225,09/01/17 11:00:00  PM,14.505,0.0112,9.410,88.600
226,09/02/17 12:00:00  AM,14.074,0.0119,9.262,90.400
227,09/02/17 01:00:00  AM,13.714,0.0126,8.841,89.900
228,09/02/17 02:00:00  AM,13.353,0.0134,8.170,92.100
229,09/02/17 03:00:00  AM,13.016,0.0134,7.745,94.000
230,09/02/17 04:00:00  AM,12.703,0.0141,7.268,95.100
231,09/02/17 05:00:00  AM,12.413,0.0148,6.712,96.200
232,09/02/17 06:00:00  AM,12.171,0.0163,6.458,97.100
233,09/02/17 07:00:00  AM,11.904,0.0170,6.509,97.900
234,09/02/17 08:00:00  AM,11.710,0.0177,8.070,98.200
235,09/02/17 09:00:00  AM,11.686,0.0155,14.098,94.300
236,09/02/17 10:00:00  AM,12.025,0.0148,17.748,73.300
237,09/02/17 11:00:00  AM,12.654,0.0141,18.985,65.100
238,09/02/17 12:00:00  PM,13.449,0.0134,19.936,61.500
239,09/02/17 01:00:00  PM,14.218,0.0126,19.555,60.500
240,09/02/17 02:00:00  PM,14.912,0.0112,19.936,60.700
241,09/02/17 03:00:00  PM,15.438,0.0112,20.579,58.800
242,09/02/17 04:00:00  PM,15.748,0.0105,18.105,62.200
243,09/02/17 05:00:00  PM,15.963,0.0097,17.558,68.500
244,09/02/17 06:00:00  PM,16.058,0.0097,17.486,70.500
245,09/02/17 07:00:00  PM,16.082,0.0097,17.082,75.500
246,09/02/17 08:00:00  PM,16.034,0.0097,16.368,80.800
247,09/02/17 09:00:00  PM,15.915,0.0090,16.034,80.500
248,09/02/17 10:00:00  PM,15.796,0.0097,15.772,82.200
249,09/02/17 11:00:00  PM,15.676,0.0097,15.342,84.700
250,09/03/17 12:00:00  AM,15.581,0.0097,15.509,87.000
251,09/03/17 01:00:00  AM,15.509,0.0097,15.772,86.700
252,09/03/17 02:00:00  AM,15.461,0.0097,15.461,86.800
253,09/03/17 03:00:00  AM,15.414,0.0214,14.457,91.000
254,09/03/17 04:00:00  AM,15.390,0.0272,14.433,95.500
255,09/03/17 05:00:00  AM,15.342,0.0322,14.529,97.000
256,09/03/17 06:00:00  AM,15.318,0.0577,14.457,97.800
257,09/03/17 07:00:00  AM,15.270,0.1310,14.385,98.300
258,09/03/17 08:00:00  AM,15.247,0.1397,14.505,98.900
