"Plot Title: pond"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 2252217, SEN S/N: 2226785, LBL: air_temp)","Voltage, V (LGR S/N: 2252217, SEN S/N: 2241280)","Current, mA (LGR S/N: 2252217, SEN S/N: 2241280)","Water Content, m³/m³ (LGR S/N: 2252217, SEN S/N: 9866284, LBL: wc_soil)","Temp, °C (LGR S/N: 2252217, SEN S/N: 10197815, LBL: temp_c)","RH, % (LGR S/N: 2252217, SEN S/N: 10197815, LBL: rh)","Batt, V (LGR S/N: 2252217)"
83,06/29/15 22:00:00,18.200,-0.2039,0.0000,0.2944,15.891,90.900,4.128
84,06/29/15 23:00:00,17.653,-0.2039,0.0000,0.2944,15.151,93.400,4.128
85,06/30/15 00:00:00,17.177,-0.2039,0.0000,0.2944,14.745,94.800,4.128
86,06/30/15 01:00:00,16.749,-0.2039,0.0000,0.2944,14.170,95.700,4.128
87,06/30/15 02:00:00,16.368,-0.2039,0.0000,0.2944,14.266,96.400,4.128
88,06/30/15 03:00:00,16.153,-0.2039,0.0000,0.2944,14.816,96.800,4.128
89,06/30/15 04:00:00,16.082,-0.2039,0.0000,0.2944,14.936,97.200,4.128
90,06/30/15 05:00:00,16.058,-0.2039,0.0000,0.2944,15.031,97.400,4.128
91,06/30/15 06:00:00,16.058,-0.2039,0.0000,0.2944,15.390,97.500,4.128
92,06/30/15 07:00:00,16.129,-0.2039,0.0000,0.2952,15.939,97.600,4.128
93,06/30/15 08:00:00,16.344,-0.2039,0.0000,0.2944,18.247,96.500,4.128
94,06/30/15 09:00:00,16.820,-0.2039,0.0000,0.2944,19.841,86.500,4.128
95,06/30/15 10:00:00,17.201,-0.2039,0.0000,0.2937,18.105,82.200,4.128
96,06/30/15 11:00:00,17.344,-0.2039,0.0000,0.2937,18.652,84.500,4.128
97,06/30/15 12:00:00,17.582,-0.2039,0.0000,0.2937,17.344,87.100,4.128
98,06/30/15 13:00:00,17.582,-0.2039,0.0000,0.2930,16.272,89.500,4.128
99,06/30/15 14:00:00,17.368,-0.2039,0.0000,0.2937,16.177,92.400,4.128
100,06/30/15 15:00:00,17.296,-0.2039,0.0000,0.2930,17.106,93.200,4.128
101,06/30/15 16:00:00,17.439,-0.2039,0.0000,0.2930,17.843,91.800,4.128
102,06/30/15 17:00:00,17.582,-0.2039,0.0000,0.2930,18.200,90.200,4.128
103,06/30/15 18:00:00,17.629,-0.2039,0.0000,0.2930,17.748,89.200,4.128
104,06/30/15 19:00:00,17.534,-0.2039,0.0000,0.2930,16.939,90.000,4.128
105,06/30/15 20:00:00,17.272,-0.2039,0.0000,0.2930,15.772,92.200,4.128
106,06/30/15 21:00:00,17.011,-0.2039,0.0000,0.2930,15.461,94.400,4.128
107,06/30/15 22:00:00,16.773,-0.2039,0.0000,0.2930,15.700,95.500,4.128
108,06/30/15 23:00:00,16.654,-0.2039,0.0000,0.2930,16.058,96.200,4.128
109,07/01/15 00:00:00,16.582,-0.2039,0.0000,0.2930,16.201,96.700,4.128
110,07/01/15 01:00:00,16.534,-0.2039,0.0000,0.2930,16.225,97.000,4.128
111,07/01/15 02:00:00,16.487,-0.2039,0.0000,0.2930,16.082,97.300,4.128
112,07/01/15 03:00:00,16.463,-0.2039,0.0000,0.2930,16.368,97.600,4.128
113,07/01/15 04:00:00,16.415,-0.2039,0.0000,0.2930,16.320,97.800,4.128
114,07/01/15 05:00:00,16.344,-0.2039,0.0000,0.2930,15.629,97.900,4.128
115,07/01/15 06:00:00,16.201,-0.2039,0.0000,0.2930,17.272,98.000,4.128
116,07/01/15 07:00:00,16.534,-0.2039,0.0000,0.2930,17.915,97.300,4.128
117,07/01/15 08:00:00,16.749,-0.2039,0.0000,0.2930,19.651,89.600,4.128
118,07/01/15 09:00:00,17.296,-0.2039,0.0000,0.2923,20.412,78.900,4.128
119,07/01/15 10:00:00,17.938,-0.2039,0.0000,0.2915,22.034,73.700,4.128
120,07/01/15 11:00:00,18.723,-0.2039,0.0000,0.2915,23.232,70.900,4.122
121,07/01/15 12:00:00,19.912,-0.2039,0.0000,0.2908,23.160,67.400,4.122
122,07/01/15 13:00:00,20.507,-0.2039,0.0000,0.2901,23.545,65.600,4.140
123,07/01/15 14:00:00,21.056,-0.2039,0.0000,0.2894,23.761,64.700,4.134
124,07/01/15 15:00:00,22.537,-0.2039,0.0000,0.2894,23.088,61.900,4.152
125,07/01/15 16:00:00,22.226,-0.2039,0.0000,0.2886,22.681,62.500,4.128
126,07/01/15 17:00:00,21.151,-0.2039,0.0000,0.2879,21.437,66.000,4.128
127,07/01/15 18:00:00,20.365,-0.2039,0.0000,0.2879,20.889,67.500,4.128
128,07/01/15 19:00:00,19.746,-0.2039,0.0000,0.2879,20.079,69.400,4.128
129,07/01/15 20:00:00,19.151,-0.2039,0.0000,0.2879,18.461,73.800,4.128
130,07/01/15 21:00:00,18.509,-0.2039,0.0000,0.2879,17.225,76.600,4.128
131,07/01/15 22:00:00,17.938,-0.2039,0.0000,0.2879,16.082,79.900,4.128
132,07/01/15 23:00:00,17.463,-0.2039,0.0000,0.2879,16.034,84.200,4.128
133,07/02/15 00:00:00,17.106,-0.2039,0.0000,0.2879,15.748,84.800,4.128
134,07/02/15 01:00:00,16.844,-0.2039,0.0000,0.2879,15.605,85.200,4.128
135,07/02/15 02:00:00,16.630,-0.2039,0.0000,0.2879,15.581,85.500,4.128
136,07/02/15 03:00:00,16.463,-0.2039,0.0000,0.2886,15.629,84.400,4.128
137,07/02/15 04:00:00,16.272,-0.2039,0.0000,0.2879,14.816,83.400,4.128
138,07/02/15 05:00:00,15.915,-0.2039,0.0000,0.2886,13.954,85.500,4.128
139,07/02/15 06:00:00,15.629,-0.2039,0.0000,0.2879,15.438,87.300,4.128
140,07/02/15 07:00:00,15.724,-0.2039,0.0000,0.2879,16.249,82.600,4.128
141,07/02/15 08:00:00,15.986,-0.2039,0.0000,0.2879,19.341,71.800,4.122
142,07/02/15 09:00:00,16.344,-0.2039,0.0000,0.2872,20.246,57.700,4.122
143,07/02/15 10:00:00,16.844,-0.2039,0.0000,0.2865,21.819,50.900,4.122
144,07/02/15 11:00:00,17.843,-0.2039,0.0000,0.2865,21.581,48.000,4.122
145,07/02/15 12:00:00,19.270,-0.2039,0.0000,0.2857,21.318,48.600,4.122
146,07/02/15 13:00:00,19.746,-0.2039,0.0000,0.2857,20.770,46.400,4.122
147,07/02/15 14:00:00,21.103,-0.2039,0.0000,0.2857,22.705,48.000,4.122
148,07/02/15 15:00:00,23.352,-0.2039,0.0000,0.2857,23.184,50.700,4.116
149,07/02/15 16:00:00,22.489,-0.2039,0.0000,0.2850,21.509,50.900,4.122
150,07/02/15 17:00:00,21.032,-0.2039,0.0000,0.2850,20.412,53.800,4.128
151,07/02/15 18:00:00,20.079,-0.2039,0.0000,0.2850,19.936,56.300,4.128
152,07/02/15 19:00:00,19.222,-0.2039,0.0000,0.2850,19.984,51.100,4.128
153,07/02/15 20:00:00,18.438,-0.2039,0.0000,0.2850,18.438,41.200,4.152
154,07/02/15 21:00:00,17.629,-0.2039,0.0000,0.2850,14.242,47.800,4.128
155,07/02/15 22:00:00,16.820,-0.2039,0.0000,0.2850,12.847,64.600,4.128
156,07/02/15 23:00:00,16.129,-0.2039,0.0000,0.2850,12.147,72.500,4.128
