"Plot Title: pond"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 2252217, SEN S/N: 2226785, LBL: soiltemp)","Water Content, m³/m³ (LGR S/N: 2252217, SEN S/N: 9866284, LBL: wc_soil)","Temp, °C (LGR S/N: 2252217, SEN S/N: 10197815, LBL: airtemp)","RH, % (LGR S/N: 2252217, SEN S/N: 10197815, LBL: rh)"
133,08/29/17 03:00:00  AM,17.153,0.3358,16.201,87.000
134,08/29/17 04:00:00  AM,16.963,0.3358,16.177,88.000
135,08/29/17 05:00:00  AM,16.844,0.3351,16.034,88.500
136,08/29/17 06:00:00  AM,16.725,0.3358,15.963,89.100
137,08/29/17 07:00:00  AM,16.582,0.3351,15.748,89.700
138,08/29/17 08:00:00  AM,16.463,0.3358,17.225,90.900
139,08/29/17 09:00:00  AM,16.534,0.3358,19.175,89.600
140,08/29/17 10:00:00  AM,16.892,0.3358,23.521,75.000
141,08/29/17 11:00:00  AM,17.510,0.3366,23.448,64.300
142,08/29/17 12:00:00  PM,17.962,0.3366,21.939,65.600
143,08/29/17 01:00:00  PM,18.461,0.3366,22.393,68.200
144,08/29/17 02:00:00  PM,19.603,0.3366,21.151,66.000
145,08/29/17 03:00:00  PM,20.269,0.3373,21.413,65.400
146,08/29/17 04:00:00  PM,20.103,0.3366,20.198,66.300
147,08/29/17 05:00:00  PM,19.603,0.3373,20.150,66.300
148,08/29/17 06:00:00  PM,19.246,0.3366,20.198,67.700
149,08/29/17 07:00:00  PM,18.913,0.3366,19.294,71.800
150,08/29/17 08:00:00  PM,18.580,0.3366,18.961,74.400
151,08/29/17 09:00:00  PM,18.271,0.3366,18.438,78.400
152,08/29/17 10:00:00  PM,17.986,0.3366,18.129,79.900
153,08/29/17 11:00:00  PM,17.724,0.3366,15.939,82.000
154,08/30/17 12:00:00  AM,17.415,0.3358,14.768,87.700
155,08/30/17 01:00:00  AM,17.082,0.3358,14.385,90.600
156,08/30/17 02:00:00  AM,16.749,0.3358,13.906,92.300
157,08/30/17 03:00:00  AM,16.463,0.3351,13.353,93.400
158,08/30/17 04:00:00  AM,16.177,0.3344,12.968,94.100
159,08/30/17 05:00:00  AM,15.915,0.3351,12.847,94.600
160,08/30/17 06:00:00  AM,15.676,0.3351,12.630,95.000
161,08/30/17 07:00:00  AM,15.485,0.3344,12.751,95.300
162,08/30/17 08:00:00  AM,15.318,0.3344,16.082,95.200
163,08/30/17 09:00:00  AM,15.390,0.3344,21.056,90.400
164,08/30/17 10:00:00  AM,15.700,0.3351,23.472,71.100
165,08/30/17 11:00:00  AM,16.201,0.3351,24.629,62.900
166,08/30/17 12:00:00  PM,16.796,0.3358,23.785,60.700
167,08/30/17 01:00:00  PM,17.605,0.3358,24.798,63.300
168,08/30/17 02:00:00  PM,18.747,0.3358,24.171,63.900
169,08/30/17 03:00:00  PM,19.365,0.3366,23.136,61.600
170,08/30/17 04:00:00  PM,19.627,0.3366,23.088,67.900
171,08/30/17 05:00:00  PM,19.651,0.3366,23.112,65.800
172,08/30/17 06:00:00  PM,19.674,0.3373,22.321,68.900
173,08/30/17 07:00:00  PM,19.579,0.3373,21.437,72.400
174,08/30/17 08:00:00  PM,19.413,0.3366,21.366,76.700
175,08/30/17 09:00:00  PM,19.199,0.3366,19.722,76.700
176,08/30/17 10:00:00  PM,18.889,0.3366,19.722,79.900
177,08/30/17 11:00:00  PM,18.580,0.3366,18.438,81.400
178,08/31/17 12:00:00  AM,18.271,0.3366,17.249,85.700
179,08/31/17 01:00:00  AM,17.962,0.3358,17.629,89.400
180,08/31/17 02:00:00  AM,17.772,0.3366,17.986,89.400
181,08/31/17 03:00:00  AM,17.724,0.3380,17.701,90.700
182,08/31/17 04:00:00  AM,17.701,0.3424,16.630,92.900
183,08/31/17 05:00:00  AM,17.605,0.3388,15.199,93.900
184,08/31/17 06:00:00  AM,17.344,0.3388,14.505,94.100
185,08/31/17 07:00:00  AM,16.987,0.3373,14.170,94.300
186,08/31/17 08:00:00  AM,16.654,0.3373,15.055,94.400
187,08/31/17 09:00:00  AM,16.511,0.3373,16.249,92.600
188,08/31/17 10:00:00  AM,16.487,0.3366,17.177,81.500
189,08/31/17 11:00:00  AM,16.558,0.3366,17.582,75.400
190,08/31/17 12:00:00  PM,16.749,0.3366,17.534,68.800
191,08/31/17 01:00:00  PM,16.963,0.3358,18.319,59.800
