"Plot Title: forest"
"#","Date Time, GMT-04:00","Water Content, m³/m³ (LGR S/N: 2252216, SEN S/N: 2012386)","Temp, °C (LGR S/N: 2252216, SEN S/N: 2226786)","Temp, °C (LGR S/N: 2252216, SEN S/N: 2229654)","RH, % (LGR S/N: 2252216, SEN S/N: 2229654)"
206,09/01/17 05:00:00  AM,0.0148,14.409,7.419,87.700
207,09/01/17 06:00:00  AM,0.0141,14.290,7.268,88.700
208,09/01/17 07:00:00  AM,0.0148,14.170,6.813,90.000
209,09/01/17 08:00:00  AM,0.0148,14.026,8.369,90.400
210,09/01/17 09:00:00  AM,0.0148,13.930,10.810,86.100
211,09/01/17 10:00:00  AM,0.0141,13.906,12.147,75.300
212,09/01/17 11:00:00  AM,0.0148,13.906,12.968,69.300
213,09/01/17 12:00:00  PM,0.0141,13.906,13.738,64.100
214,09/01/17 01:00:00  PM,0.0141,13.930,14.577,64.100
215,09/01/17 02:00:00  PM,0.0141,14.002,15.581,62.100
216,09/01/17 03:00:00  PM,0.0134,14.050,16.296,57.800
217,09/01/17 04:00:00  PM,0.0134,14.122,15.652,61.100
218,09/01/17 05:00:00  PM,0.0134,14.194,15.748,62.800
219,09/01/17 06:00:00  PM,0.0134,14.242,15.629,64.400
220,09/01/17 07:00:00  PM,0.0134,14.290,14.266,68.000
221,09/01/17 08:00:00  PM,0.0134,14.290,12.751,75.700
222,09/01/17 09:00:00  PM,0.0134,14.266,11.807,79.700
223,09/01/17 10:00:00  PM,0.0134,14.242,11.175,83.700
224,09/01/17 11:00:00  PM,0.0134,14.170,10.785,85.400
225,09/02/17 12:00:00  AM,0.0134,14.098,10.492,87.000
226,09/02/17 01:00:00  AM,0.0134,14.050,10.051,86.700
227,09/02/17 02:00:00  AM,0.0134,13.978,9.410,87.600
228,09/02/17 03:00:00  AM,0.0134,13.906,9.139,88.700
229,09/02/17 04:00:00  AM,0.0134,13.810,8.369,89.700
230,09/02/17 05:00:00  AM,0.0134,13.690,7.970,90.700
231,09/02/17 06:00:00  AM,0.0134,13.594,7.318,91.400
232,09/02/17 07:00:00  AM,0.0134,13.473,7.318,92.300
233,09/02/17 08:00:00  AM,0.0141,13.377,8.070,92.500
234,09/02/17 09:00:00  AM,0.0141,13.305,10.736,91.900
235,09/02/17 10:00:00  AM,0.0134,13.305,15.557,80.100
236,09/02/17 11:00:00  AM,0.0134,13.401,16.677,74.100
237,09/02/17 12:00:00  PM,0.0134,13.546,17.177,71.500
238,09/02/17 01:00:00  PM,0.0134,13.690,16.987,71.100
239,09/02/17 02:00:00  PM,0.0134,13.810,16.963,71.100
240,09/02/17 03:00:00  PM,0.0126,13.930,17.296,69.300
241,09/02/17 04:00:00  PM,0.0126,14.026,16.844,70.000
242,09/02/17 05:00:00  PM,0.0126,14.098,16.844,72.700
243,09/02/17 06:00:00  PM,0.0126,14.146,16.939,74.700
244,09/02/17 07:00:00  PM,0.0126,14.194,17.034,77.800
245,09/02/17 08:00:00  PM,0.0126,14.266,16.487,82.100
246,09/02/17 09:00:00  PM,0.0126,14.314,16.272,80.200
247,09/02/17 10:00:00  PM,0.0126,14.361,16.106,81.100
248,09/02/17 11:00:00  PM,0.0126,14.385,15.533,84.100
249,09/03/17 12:00:00  AM,0.0126,14.409,15.390,86.700
250,09/03/17 01:00:00  AM,0.0126,14.433,15.915,86.800
251,09/03/17 02:00:00  AM,0.0126,14.457,15.533,86.200
252,09/03/17 03:00:00  AM,0.0126,14.481,14.577,89.700
253,09/03/17 04:00:00  AM,0.0126,14.481,14.457,94.100
254,09/03/17 05:00:00  AM,0.0148,14.481,14.505,95.600
255,09/03/17 06:00:00  AM,0.1347,14.505,14.481,96.700
256,09/03/17 07:00:00  AM,0.1543,14.505,14.457,97.500
257,09/03/17 08:00:00  AM,0.1499,14.529,14.409,98.100
258,09/03/17 09:00:00  AM,0.1441,14.553,14.266,98.400
259,09/03/17 10:00:00  AM,0.1419,14.553,14.888,98.300
260,09/03/17 11:00:00  AM,0.1405,14.601,16.272,96.700
261,09/03/17 12:00:00  PM,0.1390,14.649,17.701,90.100
262,09/03/17 01:00:00  PM,0.1376,14.721,18.033,85.900
263,09/03/17 02:00:00  PM,0.1673,14.816,16.654,91.000
264,09/03/17 03:00:00  PM,0.1615,14.912,18.509,88.400
265,09/03/17 04:00:00  PM,0.1564,15.008,19.032,76.900
266,09/03/17 05:00:00  PM,0.1514,15.055,20.150,71.300
267,09/03/17 06:00:00  PM,0.1470,15.079,19.984,63.500
268,09/03/17 07:00:00  PM,0.1434,15.079,19.103,69.600
269,09/03/17 08:00:00  PM,0.1405,15.103,17.058,78.400
